Pincode,Date,Unemployment Rate (%),Student Absentees,Eviction Count,Avg Household Income,Avg Temperature (°C),Flu Cases,Suicidal Cases,Emergency Cases,Hospital Admissions
560049,2008-03-01,8.51,141,2,25023.0,25.1,18,4,16,39
560049,2010-03-01,6.83,125,6,20452.0,29.3,21,5,18,26
560050,2010-03-01,6.85,150,6,26696.0,27.0,24,4,13,28
560050,2017-05-01,10.12,109,8,15615.0,22.7,33,2,9,28
560051,2008-09-01,9.7,104,4,23209.0,33.5,26,6,11,22
560051,2010-01-01,3.77,141,7,25676.0,31.7,24,3,22,28
560051,2010-10-01,7.88,123,1,15420.0,28.2,25,3,17,32
560051,2015-10-01,5.17,130,6,32836.0,33.7,17,7,16,25
560051,2017-09-01,7.44,120,6,21575.0,26.8,22,3,18,23
560053,2009-11-01,11.65,122,4,17597.0,27.8,15,4,12,29
560053,2015-03-01,5.11,103,3,23038.0,30.6,17,1,6,32
560053,2021-04-01,8.64,123,7,20087.0,32.8,27,5,20,24
560054,2006-02-01,6.13,118,1,19162.0,28.8,18,4,19,33
560054,2014-04-01,6.13,117,1,23111.0,33.6,21,3,10,25
560054,2016-10-01,6.68,112,7,17006.0,28.0,19,6,17,20
560055,2005-05-01,3.26,118,7,25906.0,29.1,16,3,15,23
560055,2005-09-01,4.59,129,3,27895.0,31.5,18,5,12,24
560055,2014-05-01,9.59,130,6,29634.0,23.8,16,4,15,27
560056,2009-01-01,9.09,128,6,30296.0,35.8,18,3,15,26
560056,2013-04-01,7.47,117,3,27184.0,27.0,26,2,17,25
560056,2016-04-01,10.11,129,4,27995.0,30.3,19,1,13,29
560056,2020-05-01,7.6,112,7,20956.0,29.6,18,2,18,26
560056,2022-09-01,5.08,114,4,20172.0,35.4,26,2,19,19
560057,2015-01-01,10.03,131,5,32825.0,28.6,18,4,14,23
560057,2018-06-01,7.12,132,5,20905.0,23.9,15,4,13,27
560057,2023-09-01,8.61,95,3,34600.0,28.9,18,6,15,27
560057,2024-08-01,4.58,127,6,34996.0,27.1,15,4,9,25
560059,2008-08-01,5.27,114,6,23729.0,32.1,24,9,12,23
560059,2013-09-01,3.14,129,9,22732.0,27.0,23,2,18,25
560059,2020-04-01,3.94,122,2,23399.0,30.4,17,5,20,18
560059,2022-11-01,9.17,113,2,24400.0,26.4,26,1,9,19
560060,2007-07-01,4.22,109,5,23158.0,32.6,24,2,18,26
560060,2009-05-01,4.45,118,5,28015.0,28.0,19,3,11,22
560060,2014-04-01,10.12,118,8,29738.0,30.6,28,2,13,30
560060,2017-01-01,3.15,124,7,15232.0,27.3,26,2,13,19
560060,2017-04-01,8.05,108,3,35832.0,22.7,25,3,11,29
560061,2014-09-01,8.38,118,8,21175.0,25.6,15,2,17,25
560061,2016-10-01,3.39,112,5,30325.0,30.9,25,1,15,23
560061,2017-08-01,6.56,108,5,34996.0,29.2,21,4,12,19
560061,2018-12-01,6.98,114,6,17802.0,23.6,19,5,17,28
560061,2021-10-01,2.98,120,5,23605.0,27.6,19,2,12,33
560062,2010-04-01,7.76,110,3,26696.0,29.1,21,3,15,32
560062,2013-12-01,5.79,88,7,28735.0,27.9,26,4,9,21
560062,2014-05-01,5.17,122,5,22029.0,28.0,20,2,9,23
560063,2007-12-01,9.31,109,3,14271.0,25.8,19,1,19,30
560063,2010-05-01,7.28,112,6,21976.0,27.9,26,4,17,24
560063,2011-02-01,4.9,106,2,16586.0,35.1,22,4,17,26
560063,2014-12-01,9.6,109,1,25576.0,25.8,23,3,17,30
560063,2017-12-01,8.18,122,4,34641.0,26.1,13,6,14,21
560063,2023-02-01,10.03,109,0,19153.0,36.1,19,1,14,27
560064,2011-11-01,6.92,111,2,31718.0,29.1,22,2,14,20
560064,2013-07-01,5.98,136,5,26440.0,29.2,31,0,10,23
560064,2015-05-01,8.0,121,4,28243.0,28.5,22,2,13,19
560064,2017-08-01,6.18,130,2,19289.0,28.4,24,3,12,28
560064,2020-08-01,5.77,122,3,29233.0,26.8,21,4,19,21
560065,2009-09-01,9.42,131,6,22409.0,28.1,22,5,11,19
560065,2011-08-01,8.29,112,5,27814.0,25.5,14,3,17,24
560065,2017-02-01,2.64,123,4,24877.0,27.6,16,2,17,24
560065,2019-11-01,4.79,124,4,22748.0,28.3,18,4,17,32
560065,2024-05-01,3.38,132,5,28971.0,31.2,25,2,15,23
560066,2009-10-01,5.69,109,3,41115.0,28.0,20,1,15,30
560066,2012-01-01,3.86,127,1,29724.0,26.4,23,4,18,41
560066,2014-03-01,5.12,142,3,25460.0,31.5,21,2,15,16
560066,2015-09-01,2.68,116,9,25101.0,30.5,18,1,20,31
560067,2011-07-01,5.07,117,4,14221.0,31.8,24,3,11,16
560067,2014-07-01,8.21,126,5,31721.0,29.5,24,4,22,25
560068,2007-10-01,3.76,145,9,39667.0,25.0,21,5,9,30
560068,2011-02-01,6.87,117,3,20525.0,33.6,29,1,14,26
560068,2018-05-01,5.84,96,6,27597.0,23.2,24,1,9,27
560068,2023-12-01,5.92,136,7,24549.0,33.1,25,3,20,18
560070,2009-11-01,8.08,138,5,30907.0,24.7,17,4,16,19
560070,2009-12-01,6.23,117,4,25025.0,25.4,25,8,16,26
560070,2013-04-01,6.99,125,0,22644.0,25.3,26,1,15,24
560070,2014-12-01,8.32,137,5,26211.0,32.7,24,4,19,16
560070,2019-11-01,8.1,131,4,20120.0,26.9,17,2,22,23
560071,2010-12-01,5.06,130,8,25415.0,28.5,16,3,19,25
560071,2023-06-01,4.43,121,4,32127.0,30.7,20,3,13,14
560072,2010-01-01,7.07,133,5,22958.0,31.1,20,4,12,19
560072,2010-12-01,8.38,128,6,26498.0,27.4,19,2,17,25
560072,2023-03-01,6.51,122,7,27645.0,28.8,20,6,13,25
560072,2024-10-01,6.09,137,5,34704.0,31.2,23,5,12,20
560073,2013-06-01,7.65,105,2,31429.0,31.9,23,5,19,20
560073,2014-09-01,7.63,125,5,25910.0,29.5,17,3,13,22
560073,2017-03-01,7.9,119,5,28578.0,26.8,16,2,13,30
560073,2020-09-01,8.43,110,0,19959.0,28.6,16,2,18,33
560074,2006-05-01,5.9,97,2,27791.0,28.9,21,2,16,26
560074,2006-05-01,6.04,120,6,18384.0,28.5,14,2,11,35
560074,2012-06-01,8.4,117,7,19566.0,27.5,22,2,18,27
560075,2005-04-01,7.61,128,5,15590.0,29.3,10,1,14,26
560075,2017-05-01,0.46,123,6,21441.0,29.1,21,0,19,24
560075,2022-06-01,5.78,116,9,27733.0,23.5,15,6,20,21
560076,2011-03-01,9.64,120,6,11873.0,27.3,10,6,15,26
560076,2011-10-01,1.89,126,7,29002.0,28.0,12,2,14,23
560076,2014-05-01,6.86,109,5,32178.0,27.9,20,3,16,25
560076,2015-10-01,8.63,122,5,26176.0,32.0,17,2,13,17
560076,2017-08-01,9.44,117,4,28162.0,29.8,25,3,15,22
560077,2013-08-01,5.99,119,5,20689.0,30.0,18,2,20,33
560077,2016-08-01,7.52,118,6,26167.0,21.6,19,1,14,23
560077,2018-07-01,5.25,118,4,31542.0,32.2,21,0,16,26
560077,2019-11-01,7.02,115,5,27565.0,28.3,20,3,14,21
560077,2021-02-01,6.08,119,11,29068.0,32.3,29,1,16,27
560078,2008-02-01,6.43,129,5,32055.0,27.2,17,2,10,16
560078,2018-10-01,7.92,123,5,31088.0,28.9,18,2,13,33
560078,2024-10-01,8.57,107,5,27270.0,26.3,21,2,22,19
560079,2007-09-01,7.52,107,5,27840.0,24.4,19,3,15,23
560079,2007-10-01,10.58,137,4,30268.0,20.2,16,1,9,28
560079,2008-03-01,4.47,114,4,29093.0,26.8,20,4,10,23
560079,2013-02-01,4.33,117,3,19620.0,27.0,17,1,5,24
560080,2015-11-01,6.47,112,8,26710.0,29.6,20,4,17,20
560080,2016-01-01,6.56,115,6,18683.0,28.2,16,2,10,30
560080,2022-06-01,7.69,104,3,34072.0,24.4,27,2,14,29
560080,2024-07-01,5.39,126,5,25221.0,25.8,23,3,10,35
560080,2024-08-01,8.41,135,6,31623.0,29.7,20,3,21,26
560081,2014-07-01,4.4,108,4,22524.0,28.5,22,1,12,14
560081,2014-11-01,9.44,130,6,24755.0,29.9,27,6,12,27
560081,2018-02-01,9.27,129,9,26696.0,26.1,19,2,19,23
560081,2020-03-01,7.19,122,5,33986.0,27.2,17,2,24,28
560081,2023-01-01,5.91,102,6,26737.0,29.4,20,7,10,26
560082,2007-05-01,5.13,119,5,29403.0,23.2,17,1,20,21
560082,2008-11-01,7.86,120,4,28899.0,25.2,13,4,7,23
560082,2012-08-01,5.81,129,7,22251.0,27.1,16,1,13,26
560082,2012-11-01,4.67,120,4,25895.0,30.0,21,2,21,18
560082,2016-11-01,7.56,116,5,11627.0,28.5,19,1,20,24
560083,2008-10-01,9.44,120,3,18056.0,30.9,12,4,12,32
560083,2016-07-01,7.61,130,7,15880.0,25.7,23,2,9,23
560084,2014-12-01,7.89,115,4,25975.0,24.2,21,3,16,25
560084,2016-10-01,8.32,145,6,12229.0,28.0,14,2,17,23
560084,2018-09-01,5.88,130,5,20071.0,28.2,21,1,20,21
560084,2019-06-01,5.95,128,7,25800.0,35.2,18,2,11,15
560084,2021-02-01,5.57,115,9,20873.0,26.3,28,5,10,17
560084,2024-09-01,6.88,127,7,31902.0,31.2,21,4,18,17
560085,2019-09-01,6.82,112,2,27779.0,27.8,17,8,18,26
560086,2008-08-01,6.4,105,5,22039.0,27.9,16,2,15,29
560086,2017-04-01,9.66,109,5,27946.0,28.3,10,1,17,26
560086,2023-06-01,6.72,107,2,25404.0,31.1,22,2,20,29
560087,2005-09-01,5.22,113,5,23327.0,27.1,25,3,14,21
560087,2006-07-01,7.15,127,5,26505.0,26.4,14,3,19,18
560087,2011-12-01,5.33,126,7,19775.0,27.1,20,5,14,23
560087,2017-10-01,7.12,120,7,22482.0,28.6,29,2,18,33
560087,2018-09-01,9.22,136,8,25491.0,27.8,23,2,18,22
560087,2021-01-01,5.76,123,4,23199.0,29.6,17,2,16,20
560088,2007-03-01,9.21,97,4,29154.0,28.6,22,3,11,29
560090,2016-11-01,5.58,105,3,27540.0,32.1,14,4,18,22
560090,2017-07-01,6.39,129,4,22765.0,30.3,26,3,16,14
560090,2018-11-01,5.43,109,11,28291.0,31.8,20,6,20,24
560091,2011-05-01,8.44,113,6,29270.0,26.9,19,0,20,35
560091,2013-12-01,7.63,107,5,22494.0,27.7,17,3,13,23
560091,2017-01-01,4.66,109,5,29292.0,31.7,23,4,9,25
560091,2024-08-01,3.24,121,8,28604.0,27.9,20,1,9,20
560092,2005-12-01,5.48,113,6,19722.0,28.4,21,1,19,20
560092,2015-10-01,5.84,134,5,13299.0,30.6,23,4,14,30
560092,2019-11-01,9.19,125,10,22405.0,32.2,16,3,14,24
560092,2020-02-01,3.37,104,2,21632.0,33.2,23,0,25,27
560093,2010-03-01,4.45,119,5,33836.0,27.6,16,5,15,34
560093,2017-05-01,6.14,110,7,17580.0,26.0,8,2,12,25
560093,2020-08-01,6.57,127,9,17583.0,30.2,30,5,22,23
560093,2021-04-01,7.02,131,6,18923.0,22.8,22,4,12,34
560093,2022-10-01,9.11,123,5,26345.0,29.1,16,1,14,18
560094,2019-07-01,6.83,100,8,21802.0,30.5,26,2,19,19
560094,2021-02-01,8.24,115,4,28012.0,26.7,21,5,6,27
560094,2024-03-01,8.74,110,7,25955.0,27.8,20,0,12,23
560095,2010-10-01,7.44,111,7,21335.0,29.6,20,3,17,20
560095,2011-03-01,6.84,123,6,22003.0,28.9,19,2,18,28
560095,2013-06-01,8.17,123,9,23438.0,27.3,15,2,12,23
560095,2019-08-01,6.76,121,3,34381.0,24.2,17,1,13,20
560095,2020-04-01,7.35,133,3,27528.0,31.8,23,1,10,26
560096,2007-07-01,4.79,124,3,30419.0,26.8,23,4,17,21
560096,2012-09-01,7.67,110,3,17930.0,27.7,22,3,15,26
560096,2014-01-01,8.09,135,6,25629.0,25.0,28,2,16,24
560096,2020-06-01,6.93,118,5,23390.0,29.1,17,3,11,26
560097,2008-01-01,5.28,133,1,18419.0,30.5,23,1,10,27
560098,2008-06-01,6.26,125,7,23003.0,28.5,28,2,21,22
560098,2009-04-01,11.57,115,5,23662.0,22.4,18,3,15,18
560098,2011-12-01,2.66,107,2,30613.0,27.6,21,2,15,25
560098,2012-09-01,6.72,122,6,28823.0,31.6,18,4,15,23
560098,2015-03-01,4.76,123,8,20338.0,24.2,22,2,19,19
560099,2008-10-01,7.43,116,5,26617.0,30.4,25,3,22,22
560100,2007-09-01,7.63,127,6,25192.0,30.9,15,3,17,19
560100,2021-09-01,6.8,112,5,23001.0,31.4,22,0,15,23
560100,2022-03-01,6.8,97,5,20047.0,25.5,31,2,16,21
560102,2013-12-01,3.25,130,8,28604.0,29.2,20,4,14,28
560102,2014-09-01,6.18,134,7,28765.0,24.1,15,4,18,16
560102,2017-07-01,8.95,103,3,28987.0,30.7,21,1,13,30
560102,2023-10-01,5.27,140,4,26566.0,27.2,28,6,8,27
560104,2006-01-01,5.36,139,4,18063.0,29.3,19,4,20,18
560105,2005-07-01,5.73,119,5,32611.0,25.0,30,3,10,37
560105,2013-09-01,6.06,110,3,18579.0,23.5,23,1,13,19
560105,2018-11-01,4.03,107,4,17806.0,25.8,17,5,8,12
560107,2007-04-01,3.39,102,3,33710.0,32.7,20,4,17,31
560107,2009-04-01,8.92,111,6,27237.0,32.8,22,3,19,24
560107,2012-06-01,6.6,124,6,18985.0,22.4,27,7,18,24
560108,2008-07-01,3.46,138,3,24505.0,29.6,20,5,15,19
560109,2008-01-01,5.1,122,7,24418.0,21.6,20,3,21,23
560109,2014-05-01,-0.66,118,4,27240.0,31.3,35,1,12,16
560109,2014-12-01,5.63,114,7,19234.0,24.3,23,6,13,18
560109,2021-06-01,3.37,123,4,24236.0,30.6,19,3,21,17
560110,2007-11-01,4.13,146,5,26425.0,29.8,24,2,11,30
560110,2010-09-01,7.63,118,4,24555.0,24.4,23,4,14,12
560110,2013-02-01,6.43,122,4,18519.0,25.0,19,1,19,20
560110,2014-08-01,8.32,122,5,39006.0,28.9,15,2,16,27
560110,2016-10-01,2.73,123,8,21961.0,26.7,17,4,18,33
560111,2011-06-01,7.03,122,5,29183.0,27.4,16,3,22,29
560111,2012-03-01,7.8,108,5,22416.0,33.9,23,2,15,14
560111,2015-01-01,4.28,111,4,19228.0,30.0,18,3,15,19
560111,2016-09-01,8.8,116,4,19643.0,22.4,24,1,10,22
560111,2018-08-01,6.46,121,0,25891.0,21.7,20,0,14,18
560111,2018-08-01,3.82,115,4,23186.0,30.1,23,4,17,28
560111,2020-11-01,2.55,110,2,27846.0,32.0,19,3,20,21
560111,2023-11-01,7.47,125,4,22811.0,29.8,20,2,26,29
560112,2007-11-01,4.54,131,9,24438.0,29.2,16,4,18,30
560113,2010-03-01,6.92,120,6,21051.0,23.9,10,6,13,25
560113,2012-04-01,5.91,111,2,21051.0,29.9,16,1,14,27
560113,2022-09-01,6.81,137,7,38076.0,29.3,18,1,25,30
560114,2017-10-01,4.23,114,4,20812.0,25.3,24,2,23,24
560114,2018-05-01,5.96,108,5,35333.0,29.5,27,2,24,23
560114,2020-10-01,7.35,115,7,26851.0,23.8,22,3,17,21
560114,2024-11-01,8.49,104,6,37319.0,23.4,15,4,16,22
560115,2006-05-01,1.3,105,6,23462.0,27.6,19,8,15,21
560115,2008-02-01,2.9,124,7,28380.0,30.0,17,1,14,30
560115,2009-03-01,5.84,135,1,25667.0,27.5,19,1,16,34
560115,2013-06-01,5.95,131,2,27565.0,30.3,17,3,11,26
560115,2020-08-01,6.29,128,4,26369.0,27.0,12,4,16,22
560116,2008-08-01,5.8,121,4,22843.0,31.6,16,4,11,20
560116,2011-03-01,9.96,135,5,22574.0,28.7,29,1,21,20
560116,2012-09-01,5.35,126,5,21459.0,25.2,12,6,13,26
560116,2012-12-01,6.12,130,4,18646.0,25.8,17,4,11,26
560116,2014-11-01,5.86,131,6,28690.0,25.6,21,5,13,19
560116,2022-12-01,6.48,113,2,21740.0,26.6,27,3,14,26
560117,2014-12-01,5.62,131,5,19908.0,23.1,18,8,5,25
560117,2018-05-01,7.76,115,5,33480.0,28.4,15,0,16,26
560300,2007-05-01,7.8,123,4,27499.0,21.5,21,3,20,20
560300,2018-10-01,5.11,119,7,28978.0,28.8,18,3,11,33
560300,2022-02-01,11.31,129,9,28389.0,31.0,28,3,15,33
560500,2005-11-01,7.18,109,4,30548.0,31.1,17,2,18,27
560500,2006-01-01,9.7,136,5,24574.0,24.2,17,1,13,27
560500,2007-01-01,6.6,106,2,20639.0,26.8,25,6,16,10
560500,2009-06-01,7.56,101,7,26278.0,26.9,26,7,15,16
560500,2014-07-01,10.2,115,6,17977.0,26.2,20,5,11,11
560500,2016-06-01,5.78,129,4,26957.0,26.0,10,2,11,32
560500,2017-10-01,9.9,136,5,33279.0,26.0,26,4,13,24
561101,2005-08-01,4.82,125,6,25920.0,24.7,20,3,16,29
561101,2016-04-01,7.97,136,3,20905.0,28.2,17,3,18,22
561201,2007-03-01,7.04,109,4,22629.0,27.5,24,3,20,27
561201,2010-03-01,10.26,99,6,27447.0,27.3,11,6,9,29
561201,2010-03-01,4.45,104,2,18511.0,22.7,21,3,21,22
561201,2018-08-01,8.69,118,5,23238.0,27.6,24,3,11,29
561201,2020-08-01,2.7,120,7,21804.0,21.7,18,0,17,29
561202,2008-04-01,5.82,106,4,16642.0,31.6,20,1,15,26
561202,2008-05-01,7.24,106,6,17531.0,30.1,25,4,17,31
561202,2011-10-01,8.85,133,6,20835.0,24.5,20,1,7,30
561202,2014-05-01,6.79,111,4,20885.0,33.9,20,3,18,20
561202,2015-09-01,8.64,103,7,13483.0,30.3,21,6,11,29
561203,2018-02-01,2.29,107,5,10476.0,26.6,19,2,10,18
561203,2022-06-01,6.98,98,3,30279.0,37.0,21,5,14,21
561203,2023-04-01,6.74,145,5,27797.0,35.2,8,3,13,22
561203,2023-10-01,11.05,128,4,18511.0,28.1,16,3,9,20
561204,2011-12-01,5.38,116,2,35165.0,31.4,19,1,22,20
561204,2012-01-01,7.11,117,5,23281.0,29.1,20,3,17,24
561204,2021-08-01,5.9,136,6,21387.0,25.4,21,2,15,26
561204,2022-02-01,7.12,110,6,23440.0,26.8,15,1,16,26
561205,2006-01-01,10.05,114,10,18519.0,27.1,25,3,14,35
