Pincode,Date,UnemploymentRate,SchoolAttendance,EvictionRecords,IncomeVariability,SeasonalIllnessIndex,HospitalAdmissions
572124,2018-03-02,7.25,95.86,46,2179.08,38.01,78.78
572124,2018-03-03,4.48,81.6,38,4780.27,41.5,88.74
572124,2018-03-04,8.36,93.11,22,1138.27,16.96,55.48
572124,2018-03-05,7.08,80.92,31,2795.67,60.34,109.22
572124,2018-03-06,11.26,90.4,43,2327.31,83.64,148.59
572124,2018-03-07,4.41,91.9,2,1170.47,91.82,119.75
572124,2018-03-08,11.62,84.49,30,3750.12,45.9,93.82
572124,2018-03-09,11.32,82.15,31,1996.7,44.27,91.17
572124,2018-03-10,10.67,98.07,25,1395.13,33.92,79.85
572124,2018-03-11,3.68,87.85,47,2578.61,45.59,88.41
572124,2018-03-12,9.17,95.65,6,2749.56,86.87,128.27
572124,2018-03-13,4.16,91.48,45,4748.88,71.94,112.1
572124,2018-03-14,5.46,94.18,41,2484.41,98.91,153.42
572124,2018-03-15,11.29,96.38,27,3828.12,73.12,125.72
572124,2018-03-16,11.32,90.36,47,3858.6,80.99,142.51
572124,2018-03-17,10.55,96.24,26,1766.37,59.93,104.3
572124,2018-03-18,8.34,90.5,13,4757.39,29.62,54.79
572124,2018-03-19,4.36,81.88,10,1971.52,34.63,57.75
572124,2018-03-20,3.66,85.94,16,1033.69,41.5,58.98
572124,2018-03-21,6.44,90.24,20,2162.43,32.67,60.66
572124,2018-03-22,5.44,93.46,12,1758.2,32.21,64.23
572124,2018-03-23,3.97,98.25,40,3126.17,9.98,44.14
572124,2018-03-24,8.8,84.67,8,2974.12,73.41,116.81
572124,2018-03-25,9.91,92.96,8,2969.81,50.1,88.68
572124,2018-03-26,10.25,99.95,42,2187.42,0.85,48.19
572124,2018-03-27,3.9,97.3,37,2124.01,72.63,99.72
572124,2018-03-28,5.42,88.54,2,1059.49,16.9,24.24
572124,2018-03-29,6.43,99.27,19,1811.69,36.24,58.87
572124,2018-03-30,5.3,90.88,49,3764.09,33.42,79.68
572124,2018-03-31,10.89,90.69,30,3141.92,87.54,143.2
572124,2018-04-01,8.34,80.42,26,4445.2,18.18,48.83
572124,2018-04-02,10.44,93.23,34,2349.01,31.17,75.95
572124,2018-04-03,6.82,91.62,27,1282.72,25.24,58.62
572124,2018-04-04,7.73,85.94,33,3761.49,7.46,37.37
572124,2018-04-05,5.47,83.39,18,2165.3,46.23,78.66
572124,2018-04-06,8.63,92.16,10,1927.49,54.34,88.67
572124,2018-04-07,6.05,90.59,41,3496.98,72.56,125.34
572124,2018-04-08,10.13,83.28,41,1513.61,65.95,115.01
572124,2018-04-09,11.37,98.45,9,2411.02,74.9,114.78
572124,2018-04-10,9.7,92.27,3,1661.04,93.52,128.11
572124,2018-04-11,5.7,86.72,33,4364.98,41.38,76.14
572124,2018-04-12,4.67,86.15,39,3113.19,69.79,99.57
572124,2018-04-13,11.5,89.66,25,1455.8,91.58,144.27
572124,2018-04-14,11.48,88.07,45,3710.52,19.46,66.55
572124,2018-04-15,12.13,96.51,2,4480.26,28.99,61.74
572124,2018-04-16,8.35,93.3,40,4165.54,25.57,64.16
572124,2018-04-17,5.64,89.57,8,4489.5,24.93,42.81
572124,2018-04-18,7.68,99.28,2,3015.63,73.63,108.7
572124,2018-04-19,3.65,87.77,28,2648.24,87.09,125.89
572124,2018-04-20,7.53,90.67,26,4575.66,30.86,64.25
572124,2018-04-21,8.18,85.18,33,3781.81,62.01,111.99
572124,2018-04-22,9.38,89.55,5,1165.68,91.32,137.53
572124,2018-04-23,8.41,97.07,21,1969.49,37.49,72.97
572124,2018-04-24,6.47,81.7,17,4710.97,71.55,109.77
572124,2018-04-25,11.31,85.39,26,1240.88,43.87,83.61
572124,2018-04-26,8.29,86.99,36,2708.59,29.66,69.51
572124,2018-04-27,10.06,90.38,36,2427.52,22.09,64.85
572124,2018-04-28,6.34,96.1,5,3249.07,12.19,28.76
572124,2018-04-29,8.61,94.16,47,1011.92,0.22,36.59
572124,2018-04-30,4.27,99.51,20,3994.58,43.93,66.21
572124,2018-05-01,9.23,87.37,15,2206.8,96.84,137.51
572124,2018-05-02,8.24,93.01,31,1053.89,71.5,117.33
572124,2018-05-03,8.71,90.24,5,3711.04,6.31,19.78
572124,2018-05-04,10.74,96.38,45,4678.97,8.17,52.68
572124,2018-05-05,11.19,91.03,2,1327.69,9.75,37.08
572124,2018-05-06,12.21,84.62,12,1832.89,26.28,60.52
572124,2018-05-07,8.49,95.34,31,4909.86,15.66,50.62
572124,2018-05-08,5.27,97.39,16,4145.39,45.22,74.85
572124,2018-05-09,7.85,85.99,12,3549.66,3.58,24.7
572124,2018-05-10,7.71,93.18,46,4612.19,18.08,53.89
572124,2018-05-11,4.79,80.33,2,2934.07,66.11,88.4
572124,2018-05-12,8.53,90.97,7,3036.47,90.28,131.06
572124,2018-05-13,5.27,94.41,8,4659.32,28.72,52.38
572124,2018-05-14,6.29,93.59,10,2973.9,48.06,78.19
572124,2018-05-15,7.99,85.19,14,2973.54,49.11,79.88
572124,2018-05-16,8.84,82.63,28,3811.94,99.56,154.61
572124,2018-05-17,11.65,83.36,0,2583.76,87.39,127.53
572124,2018-05-18,7.93,82.02,11,2871.17,38.99,72.53
572124,2018-05-19,12.28,80.92,33,3008.87,47.13,105.17
572124,2018-05-20,5.84,85.71,29,3295.81,16.58,42.69
572124,2018-05-21,4.52,90.73,2,4303.77,14.54,29.97
572124,2018-05-22,10.52,89.66,27,2193.14,92.66,141.47
572124,2018-05-23,10.2,90.62,32,3821.16,72.18,117.19
572124,2018-05-24,5.86,83.33,40,1858.33,45.29,78.17
572124,2018-05-25,5.17,89.84,42,1903.39,74.25,112.73
572124,2018-05-26,9.66,95.18,25,4398.23,31.46,69.88
572124,2018-05-27,12.33,91.91,41,2766.64,65.09,118.1
572124,2018-05-28,5.35,80.08,16,2414.19,39.38,64.11
572124,2018-05-29,7.43,80.87,34,3234.96,73.4,116.45
572124,2018-05-30,11.15,87.9,30,2682.21,50.02,96.97
572124,2018-05-31,5.12,80.03,22,3889.5,79.28,114.22
572124,2018-06-01,6.85,88.69,22,2665.08,11.17,45.54
572124,2018-06-02,9.82,93.79,12,2345.78,10.75,32.1
572124,2018-06-03,11.19,83.82,27,2154.51,86.04,136.46
572124,2018-06-04,12.09,86.66,5,3291.81,12.87,44.77
572124,2018-06-05,10.75,84.78,4,4351.58,5.05,21.35
572124,2018-06-06,7.62,99.02,24,4879.26,21.88,51.32
572124,2018-06-07,8.73,86.51,27,3900.53,71.83,124.02
572124,2018-06-08,11.79,87.59,35,1484.28,73.12,124.24
572124,2018-06-09,7.93,87.1,0,2683.14,80.36,122.44
572124,2018-06-10,4.59,86.05,23,2798.86,89.18,122.24
572124,2018-06-11,6.49,85.93,32,3900.33,96.13,147.93
572124,2018-06-12,5.45,100.0,36,4474.37,78.8,127.1
572124,2018-06-13,4.85,83.35,6,3145.31,67.11,96.93
572124,2018-06-14,6.31,98.35,19,1085.36,76.06,112.74
572124,2018-06-15,8.78,91.67,8,3245.43,44.73,73.89
572124,2018-06-16,6.59,93.88,11,1349.83,8.25,19.02
572124,2018-06-17,4.48,81.81,44,2135.16,26.36,59.03
572124,2018-06-18,12.08,83.72,24,2388.66,64.33,111.52
572124,2018-06-19,6.59,86.26,9,1575.82,43.73,75.3
572124,2018-06-20,8.44,90.52,32,4113.22,27.23,71.85
572124,2018-06-21,8.04,83.05,18,1539.28,86.17,125.26
572124,2018-06-22,7.5,87.76,28,1056.42,94.03,137.39
572124,2018-06-23,4.2,85.97,6,3670.14,9.13,26.11
572124,2018-06-24,3.95,93.54,41,2115.66,40.11,71.04
572124,2018-06-25,12.37,85.66,39,1026.74,37.29,96.36
572124,2018-06-26,11.56,98.6,37,1346.55,79.64,145.07
572124,2018-06-27,8.0,86.44,7,2253.25,42.84,70.13
572124,2018-06-28,5.16,97.36,25,4264.04,48.25,89.53
572124,2018-06-29,11.56,81.03,25,1075.8,69.62,122.13
572124,2018-06-30,6.63,97.04,1,3790.84,5.95,14.84
572124,2018-07-01,10.63,91.42,17,3328.71,17.71,61.44
572124,2018-07-02,7.95,93.02,28,4448.79,14.98,48.06
572124,2018-07-03,3.58,96.06,0,3934.29,49.57,70.0
572124,2018-07-04,7.52,87.54,6,3054.32,26.83,48.79
572124,2018-07-05,6.69,94.18,48,1207.39,94.8,154.89
572124,2018-07-06,7.49,92.08,48,4735.41,5.4,42.43
572124,2018-07-07,4.96,85.12,12,3451.12,50.45,80.54
572124,2018-07-08,10.73,82.53,19,3036.94,73.53,118.66
572124,2018-07-09,7.99,93.79,28,1354.0,30.65,78.03
572124,2018-07-10,5.27,91.97,0,4628.65,60.88,93.42
572124,2018-07-11,7.77,92.66,25,3296.86,94.87,136.71
572124,2018-07-12,11.0,93.54,47,3122.54,27.62,81.88
572124,2018-07-13,12.41,83.74,33,2928.22,28.82,85.86
572124,2018-07-14,9.46,85.39,38,2513.4,26.81,63.56
572124,2018-07-15,7.2,94.35,14,3393.39,59.45,97.87
572124,2018-07-16,6.04,87.17,45,4281.88,67.66,116.21
572124,2018-07-17,11.69,82.24,22,4350.43,52.53,102.29
572124,2018-07-18,12.43,88.05,36,1891.05,73.66,123.59
572124,2018-07-19,5.2,94.08,25,4410.72,88.28,134.72
572124,2018-07-20,7.39,80.36,29,3415.74,89.13,136.03
572124,2018-07-21,4.09,81.14,29,4782.2,20.29,57.86
572124,2018-07-22,9.22,84.05,29,1349.94,70.84,124.21
572124,2018-07-23,10.49,84.01,36,4238.29,1.51,41.46
572124,2018-07-24,10.79,99.08,27,1343.45,96.01,149.58
572124,2018-07-25,12.19,94.63,2,1427.75,95.8,134.91
572124,2018-07-26,10.84,87.64,31,3987.46,54.45,91.07
572124,2018-07-27,10.57,80.09,22,4450.71,42.57,79.08
572124,2018-07-28,4.09,81.78,43,1878.8,38.35,72.16
572124,2018-07-29,7.99,96.81,26,1699.65,85.52,134.13
572124,2018-07-30,8.76,93.06,39,1957.79,81.37,121.8
572124,2018-07-31,4.86,83.45,21,1184.07,46.71,81.09
572124,2018-08-01,8.84,87.18,43,1384.64,44.93,95.54
572124,2018-08-02,9.84,90.92,17,1509.63,46.21,94.41
572124,2018-08-03,6.82,90.98,26,2200.28,62.86,103.57
572124,2018-08-04,5.8,85.2,30,2802.11,55.05,89.97
572124,2018-08-05,8.45,90.95,8,1204.47,91.68,128.92
572124,2018-08-06,4.19,89.32,4,1973.26,3.3,20.51
572124,2018-08-07,7.35,90.35,43,3540.09,77.49,138.79
572124,2018-08-08,10.06,81.59,45,1342.73,61.92,118.65
572124,2018-08-09,10.03,83.14,48,1823.4,86.67,150.33
572124,2018-08-10,10.14,81.07,30,3553.51,92.1,144.34
572124,2018-08-11,9.03,80.34,12,4923.52,78.48,125.54
572124,2018-08-12,6.25,99.47,7,4348.46,87.45,131.09
572124,2018-08-13,7.42,86.63,3,1840.01,97.79,140.58
572124,2018-08-14,9.38,83.18,21,3676.22,93.4,150.75
572124,2018-08-15,5.72,94.97,8,3956.35,97.56,144.62
572124,2018-08-16,10.2,80.93,38,3281.87,0.7,36.83
572124,2018-08-17,11.64,85.44,13,4629.74,41.78,71.97
572124,2018-08-18,8.79,84.7,26,1352.98,88.7,134.26
572124,2018-08-19,10.95,84.15,9,4045.8,76.31,113.12
572124,2018-08-20,9.59,84.04,2,1745.93,50.7,74.94
572124,2018-08-21,9.7,93.4,45,4216.51,65.88,119.03
572124,2018-08-22,10.86,81.96,44,1470.77,90.25,148.18
572124,2018-08-23,4.75,89.92,28,4426.87,95.52,137.76
572124,2018-08-24,9.28,89.14,2,2442.21,7.21,29.6
572124,2018-08-25,10.74,92.41,12,3604.3,79.77,124.59
572124,2018-08-26,5.21,98.0,0,1177.58,26.04,36.09
572124,2018-08-27,5.3,92.28,39,2739.5,41.93,79.16
572124,2018-08-28,4.29,82.15,10,4774.72,29.16,48.28
572124,2018-08-29,4.0,99.38,45,1720.16,78.21,115.0
572124,2018-08-30,4.46,96.61,45,1152.8,48.66,99.47
572124,2018-08-31,6.83,97.97,18,4118.53,52.97,88.35
572124,2018-09-01,7.54,89.27,39,4557.8,21.09,60.03
572124,2018-09-02,5.96,92.03,33,2830.78,37.8,69.33
572124,2018-09-03,9.35,91.93,10,4487.07,12.06,48.34
572124,2018-09-04,6.46,99.44,6,2756.06,49.26,73.63
572124,2018-09-05,4.51,85.05,17,1730.64,60.02,88.27
572124,2018-09-06,11.89,85.08,6,2876.22,59.82,100.21
572124,2018-09-07,8.29,97.08,46,3577.95,10.11,52.37
572124,2018-09-08,5.91,97.45,36,1991.38,37.65,81.69
572124,2018-09-09,9.16,82.92,17,3671.01,35.61,71.48
572124,2018-09-10,9.19,98.33,20,4486.12,82.44,131.1
572124,2018-09-11,11.95,85.75,12,2167.48,23.52,57.0
572124,2018-09-12,11.12,87.36,16,1507.02,44.99,92.67
572124,2018-09-13,3.5,91.49,16,2660.92,90.39,120.81
572124,2018-09-14,6.18,81.94,15,1615.45,9.14,39.31
572124,2018-09-15,5.79,90.79,27,3335.26,61.67,93.44
572124,2018-09-16,5.74,90.73,28,4869.99,61.63,92.36
572124,2018-09-17,10.12,90.68,26,3482.55,73.31,129.3
572124,2018-09-18,12.37,92.43,15,3279.17,87.48,141.02
572124,2018-09-19,7.84,83.64,17,1925.22,7.68,27.57
572124,2018-09-20,6.15,84.28,1,4793.24,85.75,115.48
572124,2018-09-21,8.94,98.38,4,4082.77,70.62,111.47
572124,2018-09-22,5.09,82.4,45,4922.73,43.37,78.5
572124,2018-09-23,10.69,91.97,4,4619.47,12.23,39.73
572124,2018-09-24,10.13,88.69,27,4258.9,66.08,113.6
572124,2018-09-25,8.28,95.12,40,3504.0,73.1,129.08
572124,2018-09-26,4.19,88.15,10,2638.19,69.99,94.84
572124,2018-09-27,4.96,88.1,9,3179.6,23.31,41.18
572124,2018-09-28,4.97,89.44,36,2362.22,25.73,59.83
572124,2018-09-29,11.39,93.74,1,2341.49,85.16,119.73
572124,2018-09-30,6.07,93.66,25,1894.49,4.55,26.85
572124,2018-10-01,6.59,96.68,32,4256.81,2.92,34.87
572124,2018-10-02,11.73,92.09,3,4788.86,47.77,83.74
572124,2018-10-03,8.37,82.46,10,4110.62,35.39,68.93
572124,2018-10-04,12.3,92.75,18,4854.53,40.21,83.99
572124,2018-10-05,6.0,86.23,11,2413.27,60.05,103.42
572124,2018-10-06,6.45,87.67,14,3506.4,78.58,117.12
572124,2018-10-07,6.03,85.46,40,2332.32,48.58,97.13
572124,2018-10-08,12.24,80.71,0,3465.7,77.16,120.95
572124,2018-10-09,6.92,80.7,49,3884.07,83.96,142.03
572124,2018-10-10,9.43,82.88,36,1371.25,66.38,112.29
572124,2018-10-11,12.25,90.98,42,4933.09,70.83,136.55
572124,2018-10-12,9.88,83.75,42,3256.67,16.15,65.33
572124,2018-10-13,9.0,92.33,49,4765.49,4.61,50.31
572124,2018-10-14,9.98,94.26,25,3147.24,20.54,56.17
572124,2018-10-15,11.83,87.16,18,3755.44,64.0,112.79
572124,2018-10-16,12.42,84.92,32,3137.57,94.64,148.03
572124,2018-10-17,9.62,97.01,13,3057.12,0.16,29.78
572124,2018-10-18,6.06,93.26,5,2813.35,66.84,87.6
572124,2018-10-19,7.48,81.29,25,3955.11,97.09,139.36
572124,2018-10-20,8.94,83.71,36,3038.91,1.06,30.06
572124,2018-10-21,5.94,92.92,46,3079.67,42.08,82.89
572124,2018-10-22,4.81,82.08,25,1726.37,65.17,107.13
572124,2018-10-23,6.84,82.38,2,3525.6,25.72,53.56
572124,2018-10-24,12.14,96.19,35,1877.12,78.84,144.27
572124,2018-10-25,7.62,87.47,15,4125.36,55.92,78.5
572124,2018-10-26,4.83,94.3,35,3768.05,58.94,95.5
572124,2018-10-27,6.3,89.08,33,4237.61,62.72,105.34
572124,2018-10-28,9.64,85.47,1,3781.43,73.32,104.82
572124,2018-10-29,5.89,86.86,24,3462.83,2.32,28.6
572124,2018-10-30,3.93,92.66,24,1619.27,68.8,96.65
572124,2018-10-31,8.17,81.38,43,3622.02,43.01,95.98
572124,2018-11-01,3.72,85.77,30,3511.85,23.01,44.43
572124,2018-11-02,10.16,83.51,7,2661.97,87.62,125.76
572124,2018-11-03,4.16,88.51,11,4120.95,9.16,17.99
572124,2018-11-04,9.8,93.4,22,1451.05,96.61,148.18
572124,2018-11-05,5.98,99.94,46,3631.15,78.41,127.64
572124,2018-11-06,10.81,95.74,2,4889.87,2.85,32.38
572124,2018-11-07,7.43,95.41,2,4264.51,99.66,137.73
572124,2018-11-08,6.68,98.68,44,1952.82,79.28,122.91
572124,2018-11-09,11.66,96.52,34,1196.35,93.18,144.77
572124,2018-11-10,5.97,88.22,7,1460.04,44.5,79.51
572124,2018-11-11,6.49,86.96,23,4154.85,49.15,74.92
572124,2018-11-12,6.67,86.09,26,3498.56,50.95,82.34
572124,2018-11-13,5.33,86.49,12,4565.97,97.96,134.72
572124,2018-11-14,10.99,87.99,37,1765.83,2.21,43.4
572124,2018-11-15,10.08,81.44,28,3656.89,77.94,137.16
572124,2018-11-16,4.29,89.03,21,2828.15,40.99,69.8
572124,2018-11-17,5.08,96.82,1,3714.36,28.58,47.51
572124,2018-11-18,10.69,99.28,49,3347.88,1.14,49.44
572124,2018-11-19,6.28,83.06,25,1804.88,66.73,107.73
572124,2018-11-20,9.74,99.95,38,3711.59,17.62,57.39
572124,2018-11-21,9.18,85.39,20,2180.01,73.09,117.16
572124,2018-11-22,11.64,84.47,43,4060.98,91.02,152.19
572124,2018-11-23,11.9,90.79,18,1747.51,85.76,134.54
572124,2018-11-24,10.8,80.07,19,4120.02,27.26,50.28
572124,2018-11-25,4.61,97.61,23,2133.97,4.15,22.44
572124,2018-11-26,4.92,80.87,20,4653.7,88.26,125.66
572124,2018-11-27,7.23,83.06,29,1572.22,73.12,121.25
572124,2018-11-28,7.54,87.88,14,1316.78,46.42,82.65
572124,2018-11-29,9.43,95.11,47,3931.9,32.81,78.73
572124,2018-11-30,10.46,94.26,8,4268.87,62.6,99.98
572124,2018-12-01,4.93,89.55,14,4921.62,88.45,125.87
572124,2018-12-02,10.19,82.9,6,2512.52,40.16,69.23
572124,2018-12-03,8.49,91.86,46,4457.13,57.39,111.65
572124,2018-12-04,7.27,85.51,47,3997.74,58.43,103.74
572124,2018-12-05,5.85,80.45,40,3989.1,74.24,120.38
572124,2018-12-06,10.79,90.99,46,4450.66,19.76,70.05
572124,2018-12-07,11.92,97.37,40,1431.99,19.09,68.29
572124,2018-12-08,11.13,80.49,33,1909.78,92.96,142.53
572124,2018-12-09,4.28,97.64,15,4807.11,41.96,69.88
572124,2018-12-10,10.36,89.89,31,2725.18,74.58,123.36
572124,2018-12-11,4.13,82.66,23,3203.41,56.95,87.98
572124,2018-12-12,3.77,86.16,26,4283.37,25.35,51.15
572124,2018-12-13,10.48,91.55,30,4846.86,93.31,148.55
572124,2018-12-14,7.4,86.54,7,2117.06,94.99,139.09
572124,2018-12-15,5.46,90.44,14,3975.75,45.87,73.81
572124,2018-12-16,12.35,82.96,17,3382.34,28.72,67.29
572124,2018-12-17,4.07,88.61,9,4708.89,27.2,44.8
572124,2018-12-18,3.61,96.35,29,2711.01,1.44,31.44
572124,2018-12-19,11.25,84.45,42,2996.92,58.44,122.23
572124,2018-12-20,5.66,86.01,43,3245.37,23.99,59.33
572124,2018-12-21,9.47,82.8,13,3511.42,26.89,58.8
572124,2018-12-22,9.77,84.07,47,3041.51,92.27,150.01
572124,2018-12-23,5.59,95.68,41,2283.58,33.43,72.51
572124,2018-12-24,9.46,84.52,33,4238.3,29.87,73.0
572124,2018-12-25,5.13,92.85,7,1250.6,37.74,59.18
572124,2018-12-26,7.58,91.75,37,4427.84,32.91,81.25
572124,2018-12-27,4.53,98.67,35,3465.88,60.03,104.86
572124,2018-12-28,7.5,85.76,13,4755.5,38.65,60.69
572124,2018-12-29,9.95,84.84,11,1722.38,34.85,69.05
572124,2018-12-30,9.57,99.01,14,1336.16,40.61,71.88
572124,2018-12-31,5.16,94.86,22,2946.26,27.74,53.62
572124,2019-01-01,9.22,95.58,12,4987.51,72.57,108.77
572124,2019-01-02,4.11,91.04,31,1330.99,48.46,84.16
572124,2019-01-03,6.47,89.02,28,1838.51,23.16,49.96
572124,2019-01-04,12.35,89.41,34,1150.54,12.15,50.35
572124,2019-01-05,3.63,89.87,23,4215.79,52.49,82.79
572124,2019-01-06,8.23,84.36,20,2092.71,60.3,99.22
572124,2019-01-07,7.78,98.21,34,3375.2,70.33,104.43
572124,2019-01-08,12.44,87.12,47,3470.24,50.03,106.68
572124,2019-01-09,9.77,96.99,32,3691.08,3.14,39.26
572124,2019-01-10,4.68,83.23,25,4268.31,5.41,27.25
572124,2019-01-11,4.12,82.12,14,4281.45,92.15,119.18
572124,2019-01-12,8.37,80.16,8,3080.49,16.23,45.92
572124,2019-01-13,11.96,86.77,6,2694.05,12.04,43.99
572124,2019-01-14,3.82,90.6,27,4878.95,58.27,91.1
572124,2019-01-15,8.05,81.44,34,3420.72,12.91,42.72
572124,2019-01-16,10.88,88.39,34,2128.93,88.06,139.27
572124,2019-01-17,6.26,98.81,1,2094.14,62.93,93.33
572124,2019-01-18,10.7,96.06,5,1161.14,40.49,70.43
572124,2019-01-19,6.87,95.45,21,4614.16,21.69,53.65
572124,2019-01-20,10.9,99.26,33,3662.65,43.96,85.13
572124,2019-01-21,6.82,84.6,17,1514.81,56.77,84.33
572124,2019-01-22,7.01,92.03,18,3861.63,3.02,20.85
572124,2019-01-23,8.77,84.47,43,4340.58,36.13,79.41
572124,2019-01-24,12.18,84.91,33,1964.37,76.57,134.7
572124,2019-01-25,8.34,91.69,20,1702.5,51.8,85.73
572124,2019-01-26,7.12,82.6,37,2028.78,7.77,36.48
572124,2019-01-27,8.43,93.77,10,2503.57,75.4,106.68
572124,2019-01-28,6.96,85.67,13,1528.18,99.39,135.91
572124,2019-01-29,12.18,80.94,39,3891.5,93.51,155.18
572124,2019-01-30,7.11,91.02,45,4742.07,4.77,48.94
572124,2019-01-31,10.23,85.61,31,1241.5,83.28,136.98
572124,2019-02-01,9.5,87.58,12,4544.78,13.19,47.0
572124,2019-02-02,6.37,80.66,41,2123.09,36.5,80.17
572124,2019-02-03,8.54,86.33,2,1294.65,76.67,102.19
572124,2019-02-04,4.62,89.41,40,3167.08,96.17,142.51
572124,2019-02-05,4.4,88.57,4,4025.11,6.64,20.46
572124,2019-02-06,5.5,80.99,16,2063.31,78.61,107.44
572124,2019-02-07,6.7,85.27,21,1260.19,86.43,123.68
572124,2019-02-08,6.67,96.0,2,2413.84,96.09,129.88
572124,2019-02-09,8.36,89.05,28,4401.1,85.51,136.92
572124,2019-02-10,6.12,82.85,36,2405.01,83.0,128.82
572124,2019-02-11,4.3,86.18,2,2599.08,74.27,92.73
572124,2019-02-12,10.27,82.47,32,2282.84,56.54,99.44
572124,2019-02-13,11.71,88.47,12,4974.15,86.77,128.1
572124,2019-02-14,6.0,87.08,3,1011.87,27.3,56.62
572124,2019-02-15,5.38,94.67,45,2873.08,36.03,71.64
572124,2019-02-16,8.79,95.16,32,1178.95,11.83,51.93
572124,2019-02-17,4.4,95.88,12,2942.04,45.14,72.89
572124,2019-02-18,8.73,82.36,9,3220.58,20.02,48.31
572124,2019-02-19,11.28,80.32,27,4592.1,10.91,46.72
572124,2019-02-20,4.55,89.29,48,1618.92,93.8,147.54
572124,2019-02-21,11.85,84.75,47,4342.99,46.37,99.4
572124,2019-02-22,4.69,96.14,12,3083.07,22.0,31.13
572124,2019-02-23,10.18,84.89,37,3757.06,74.6,126.1
572124,2019-02-24,7.2,92.02,10,2298.09,59.88,95.5
